activity,microseconds
HSV Index,869363
HSV Index,879006
HSV Index,877444
HSV Index,864660
HSV Index,864398
HSV Index,861497
HSV Index,871293
HSV Index,889622
HSV Index,883852
HSV Index,865743
HSV Index,875755
HSV Index,870154
HSV Index,871321
HSV Index,862411
HSV Index,859865
