name,number,lw_ratio,shape_index,distance,normalized_distance,hue,in_phase,type
image-13-blob8,82,1.269827,1.652936,223,0.02037,86.513213,0.038144,0
image-14-blob2,83,1.541788,1.009657,608,0.421296,84.902745,0.009628,1
image-14-blob4,84,1.502299,1.005781,427,0.3375,75.904185,0.015947,1
image-14-blob5,85,1.416013,1.030742,389,0.319907,87.08099,0.022205,1
image-14-blob6,86,2.629449,1.035408,358,0.305556,77.827264,0.016423,1
image-14-blob7,87,1.26751,1.029451,330,0.292593,81.001908,0.013596,1
image-14-blob8,88,2.35218,1.011301,119,0.194907,104.156129,0.020944,1
image-14-blob10,89,1.379981,1.814338,302,0,87.112276,0.042143,0
image-15-blob1,90,3.775208,1.235029,394,0.318981,80.1194,0.013736,1
image-15-blob2,91,1.194366,1.602794,295,0,85.749008,0.053405,0
image-16-blob1,92,2.836363,1.178088,146,0.116204,88.821023,0.01547,1
image-16-blob2,93,1.809556,1.775818,124,0.106019,88.909457,0.04196,1
image-16-blob4,94,1.169811,1.550885,105,0,87.935797,0.042939,0
image-17-blob0,95,1.530904,0.961185,967,0.578241,78.202825,0.012092,1
image-17-blob1,96,3.43524,1.059549,944,0.567593,77.234582,0.007845,1
image-17-blob3,97,1.993697,1.069831,855,0.526389,88.794017,0.014045,1
image-17-blob4,98,2.101654,1.048633,164,0.206481,78.452427,0.022329,1
image-17-blob5,99,1.219423,1.001438,131,0.191204,79.208541,0.023026,1
image-17-blob6,100,2.495086,1.558568,43,0.150463,81.805851,0.020927,1
image-17-blob7,101,1.478062,0.979055,33,0.115278,160.540241,0.008236,1
image-18-blob0,102,2.075377,1.016323,869,0.364815,83.011383,0.008249,1
image-18-blob1,103,2.452746,1.205279,848,0.355093,89.46579,0.01957,1
image-18-blob2,104,3.839854,1.371892,534,0.209722,81.127243,0.012691,1
image-18-blob6,105,1.315468,1.72771,142,0.103241,81.416413,0.042275,0
image-19-blob0,106,1.231088,1.050427,958,0.537963,82.801186,0.013789,1
image-19-blob1,107,5.59682,1.290967,916,0.518519,82.875028,0.021712,1
image-19-blob2,108,1.700721,1.053677,846,0.486111,82.026751,0.014951,1
image-19-blob3,109,2.86772,1.092425,824,0.475926,80.528743,0.014947,1
image-19-blob4,110,2.275498,1.029043,812,0.47037,84.125807,0.016802,1
image-19-blob5,111,1.848842,1.074993,400,0.27963,80.360324,0.019508,1
image-19-blob6,112,1.932587,1.023925,307,0.236574,80.961172,0.018533,1
image-19-blob7,113,1.44756,1.009073,292,0.22963,86.090394,0.023714,1
image-19-blob8,114,1.613363,1.246827,287,0.227315,79.911253,0.021556,1
image-19-blob9,115,1.40015,0.982636,152,0.164815,87.964595,0.022719,1
image-20-blob0,116,6.656719,1.227934,1072,0.592593,93.583354,0.02201,1
image-20-blob1,117,2.372391,1.668666,954,0.537963,87.189102,0.02717,1
image-20-blob2,118,1.198136,1.266928,374,0.269444,82.331256,0.021909,1
image-20-blob5,119,2.07665,1.076819,308,0.238889,95.862411,0.031048,1
image-20-blob6,120,3.969343,1.173459,291,0.231019,81.6873,0.022175,1
image-20-blob7,121,3.389979,1.552151,280,0.225926,89.769584,0.032299,1
image-20-blob8,122,1.15607,0.986927,163,0.171759,87.43669,0.021883,1
image-20-blob9,123,1.599587,1.79795,208,0,87.023431,0.037716,0
image-21-blob0,124,1.644789,1.568578,98,0.033333,83.595853,0.053761,0
image-21-blob2,125,1.310992,0.958154,310,0.222222,91.755683,0.018114,1
image-21-blob6,126,1.397621,2.218578,615,0.363426,87.1619,0.030061,1
image-22-blob1,127,1.195619,1.605081,25,0,89.561723,0.041541,0
image-23-blob1,128,1.524175,1.010988,1069,0.516204,81.503115,0.017745,1
image-23-blob3,129,1.299211,2.143149,874,0.425926,84.95445,0.026063,1
image-23-blob7,130,3.281241,1.143066,704,0.30463,81.159685,0.020631,1
image-23-blob8,131,2.663887,1.632811,638,0.274074,85.156683,0.028376,1
image-24-blob0,132,1.075138,0.952786,996,0.4,98.10519,0.011081,1
image-24-blob1,133,1.675221,1.049111,57,0.034722,82.705443,0.0185,1
image-24-blob2,134,3.680084,1.530657,76,0.025926,85.277344,0.027611,1
image-24-blob3,135,2.924052,1.220335,141,0.126389,86.476722,0.019239,1
image-24-blob5,136,1.80598,1.014824,209,0.15787,83.680411,0.014496,1
image-24-blob8,137,1.92967,1.066305,499,0.29213,84.845564,0.021846,1
image-24-blob9,138,7.016537,1.283982,587,0.33287,86.84125,0.020025,1
image-24-blob10,139,2.347233,1.812383,527,0.305093,89.179438,0.02692,1
image-24-blob11,140,1.902629,1.011306,619,0.347685,80.094252,0.014805,1
image-25-blob0,141,1.723773,2.046087,78,0.014815,85.782011,0.039767,0
image-25-blob2,142,1.88823,1.016108,510,0.287037,83.629657,0.014606,1
image-25-blob4,143,4.433624,1.327427,591,0.324537,80.671427,0.018591,1
image-25-blob5,144,2.927048,2.109803,608,0.332407,83.925006,0.041063,1
image-26-blob0,145,1.827646,1.006288,1042,0.53287,79.230992,0.009406,1
image-26-blob1,146,6.077403,1.365217,916,0.474537,77.843339,0.025651,1
image-26-blob2,147,2.031814,1.009661,843,0.440741,78.403474,0.013679,1
image-26-blob3,148,1.855292,0.98566,793,0.417593,74.431014,0.011797,1
image-26-blob5,149,2.655786,1.087245,713,0.380556,73.656107,0.008742,1
image-26-blob7,150,1.71132,1.001303,215,0.15,73.116705,0.015679,1
image-26-blob8,151,2.366606,1.036182,167,0.127778,76.443513,0.024524,1
image-26-blob9,152,5.110324,1.13601,108,0.100463,81.452917,0.009279,1
image-26-blob10,153,3.256449,1.053622,93,0.093519,77.968947,0.010328,1
image-27-blob0,154,1.87065,1.005751,973,0.444907,91.903563,0.012772,1
image-28-blob0,155,1.744398,1.012331,747,0.459722,78.49766,0.018947,1
image-28-blob1,156,1.875153,2.011491,693,0.434722,86.17593,0.030729,1
image-29-blob9,157,1.196345,1.263465,21,0,85.490254,0.05187,0
image-29-blob11,158,1.676926,1.012039,603,0.288889,73.613219,0.020589,1
image-29-blob13,159,1.341176,0.981824,637,0.30463,77.805492,0.025805,1
image-29-blob14,160,8.758722,1.472786,691,0.32963,81.660148,0.010836,1
image-29-blob15,161,1.640231,1.028766,747,0.355556,94.749324,0.03065,1
image-29-blob16,162,5.872557,1.188579,846,0.401389,71.379274,0.016135,1
image-29-blob17,163,2.298531,1.631547,805,0.382407,80.728321,0.024282,1
image-29-blob18,164,1.99057,1.791042,833,0.39537,85.585837,0.024106,1
image-30-blob0,165,3.107428,1.219307,956,0.408796,78.033954,0.029731,1
image-30-blob1,166,1.979921,1.032896,905,0.385185,74.492926,0.015306,1
image-30-blob2,167,2.668591,1.073831,842,0.356019,81.475217,0.023843,1
image-30-blob3,168,1.015316,0.971668,430,0.165278,105.887174,0.015201,1
image-30-blob5,169,2.616799,1.433147,352,0.129167,105.63966,0.022189,1
image-30-blob6,170,6.692983,1.670781,195,0.056481,96.603469,0.016391,1
image-30-blob8,171,1.798086,0.98778,573,0.299074,69.865227,0.024755,1
image-30-blob9,172,1.482267,1.373371,73,0,86.383812,0.047508,0
image-31-blob0,173,1.575253,1.021574,829,0.430556,76.0261,0.015837,1
image-31-blob2,174,1.720923,1.011549,362,0.214352,104.299033,0.018135,1
image-31-blob3,175,1.368851,1.047824,281,0.176852,103.817068,0.017801,1
image-31-blob4,176,1.385292,1.005958,68,0.015278,95.723275,0.022804,1
image-31-blob5,177,1.334266,1.037943,568,0.216204,78.777602,0.004548,1
image-31-blob6,178,1.158672,1.04649,622,0.241204,75.215362,0.04092,1
image-31-blob8,179,1.88732,1.746367,101,0,87.524893,0.043592,0
image-32-blob0,180,2.646374,1.101456,938,0.436574,75.114616,0.017582,1
image-32-blob1,181,1.926327,1.677134,892,0.415278,83.02225,0.025419,1
image-33-blob0,182,1.254307,0.987929,824,0.347222,73.971466,0.013632,1
image-33-blob1,183,2.189633,2.134009,863,0.365278,82.804438,0.024588,1
image-33-blob3,184,1.336292,1.556513,74,0,86.072422,0.043076,0
image-34-blob0,185,2.315571,1.007983,834,0.418519,68.596581,0.011691,1
image-34-blob1,186,1.204088,1.032588,816,0.410185,70.154433,0.022522,1
image-34-blob2,187,1.323877,1.139698,838,0.42037,82.923502,0.013472,1
image-34-blob3,188,2.020212,1.102701,803,0.404167,69.218272,0.031569,1
image-34-blob5,189,1.22571,1.001253,745,0.377315,70.776954,0.016639,1
image-34-blob6,190,1.094584,1.010646,738,0.374074,66.87883,0.022926,1
image-34-blob7,191,1.913207,1.039626,726,0.368519,78.149396,0.014489,1
image-34-blob8,192,2.576283,1.053895,736,0.373148,79.184431,0.014659,1
image-34-blob10,193,2.41927,1.57954,775,0.391204,87.488838,0.028177,1
image-34-blob13,194,3.686984,1.141319,664,0.339815,75.594787,0.010773,1
image-34-blob17,195,1.197319,1.605993,70,0,86.690562,0.042643,0
image-34-blob20,196,1.306037,0.971321,814,0.344444,77.971277,0.011417,1
image-34-blob21,197,2.655724,1.195462,856,0.363889,72.197692,0.012092,1
image-35-blob0,198,2.621901,1.043231,966,0.456944,89.865612,0.014591,1
image-35-blob1,199,1.419917,0.994156,894,0.423611,78.043006,0.014746,1
image-35-blob3,200,4.732488,1.162789,882,0.418056,79.87462,0.013158,1
image-35-blob4,201,3.49831,1.043446,821,0.389815,73.962717,0.012129,1
image-35-blob6,202,5.473936,1.414253,129,0.069444,93.527229,0.012052,1
image-35-blob7,203,2.632056,1.070464,535,0.237963,127.691465,0.007952,1
image-36-blob1,204,6.183253,1.190528,304,0.131019,103.323305,0.014599,1
image-36-blob2,205,3.203424,1.703738,274,0.11713,96.050501,0.019908,1
image-36-blob3,206,4.663425,1.37727,633,0.283333,75.64511,0.018011,1
image-37-blob2,207,1.080007,1.480525,83,0,83.613326,0.0484,0
image-38-blob0,208,2.097941,1.066577,863,0.430556,75.539151,0.015924,1
image-38-blob1,209,6.575391,1.326922,835,0.417593,79.107988,0.018348,1
